기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019	합계	4,327,605	10,010,983	4,877,725	5,133,258	9,729,107	4,744,059	4,985,048	281,876	133,666	148,210	2.25	1,485,272
2019	종로구	73,947	161,869	78,215	83,654	151,290	73,746	77,544	10,579	4,469	6,110	2.05	27,519
2019	중구	62,739	136,488	66,823	69,665	126,171	61,910	64,261	10,317	4,913	5,404	2.01	23,275
2019	용산구	110,126	245,185	119,599	125,586	228,670	110,356	118,314	16,515	9,243	7,272	2.08	38,791
2019	성동구	135,838	308,979	150,861	158,118	300,889	147,273	153,616	8,090	3,588	4,502	2.22	43,947
2019	광진구	164,428	366,972	176,917	190,055	351,350	170,262	181,088	15,622	6,655	8,967	2.14	47,902
2019	동대문구	164,191	363,023	178,490	184,533	346,194	172,113	174,081	16,829	6,377	10,452	2.11	59,350
2019	중랑구	181,579	402,024	199,006	203,018	397,015	196,959	200,056	5,009	2,047	2,962	2.19	65,164
2019	성북구	192,592	454,744	219,099	235,645	442,650	214,437	228,213	12,094	4,662	7,432	2.3	70,850
2019	강북구	144,277	317,695	154,638	163,057	313,954	153,235	160,719	3,741	1,403	2,338	2.18	60,577
2019	도봉구	138,508	335,631	163,961	171,670	333,362	163,051	170,311	2,269	910	1,359	2.41	58,714
2019	노원구	216,966	537,303	259,810	277,493	532,905	257,923	274,982	4,398	1,887	2,511	2.46	80,923
2019	은평구	207,681	484,546	233,360	251,186	480,032	231,528	248,504	4,514	1,832	2,682	2.31	80,738
2019	서대문구	140,157	323,171	153,215	169,956	309,397	148,663	160,734	13,774	4,552	9,222	2.21	52,074
2019	마포구	175,023	385,925	181,303	204,622	374,035	176,891	197,144	11,890	4,412	7,478	2.14	52,429
2019	양천구	177,256	462,285	227,019	235,266	458,165	225,186	232,979	4,120	1,833	2,287	2.58	61,264
2019	강서구	262,708	598,273	289,691	308,582	591,796	286,563	305,233	6,477	3,128	3,349	2.25	84,077
2019	구로구	176,568	439,371	219,602	219,769	406,664	200,987	205,677	32,707	18,615	14,092	2.3	65,779
2019	금천구	110,622	251,820	128,954	122,866	232,810	118,209	114,601	19,010	10,745	8,265	2.1	37,660
2019	영등포구	174,806	400,986	200,986	200,000	367,678	182,438	185,240	33,308	18,548	14,760	2.1	57,872
2019	동작구	180,753	408,912	197,706	211,206	395,963	191,976	203,987	12,949	5,730	7,219	2.19	62,226
2019	관악구	268,559	517,334	259,194	258,140	500,094	251,009	249,085	17,240	8,185	9,055	1.86	75,194
2019	서초구	173,199	435,107	208,181	226,926	430,826	206,039	224,787	4,281	2,142	2,139	2.49	57,136
2019	강남구	232,981	550,209	263,345	286,864	545,169	260,806	284,363	5,040	2,539	2,501	2.34	71,025
2019	송파구	278,711	682,741	330,412	352,329	675,961	327,164	348,797	6,780	3,248	3,532	2.43	87,334
2019	강동구	183,390	440,390	217,338	223,052	436,067	215,335	220,732	4,323	2,003	2,320	2.38	63,452
