행정구역별(시군구),성별,연령별,2019
종로구,남자,15세미만,6183
종로구,남자,15~19세,2803
종로구,남자,20~24세,4230
종로구,남자,25~29세,6167
종로구,남자,30~34세,4747
종로구,남자,35~39세,4657
종로구,남자,40~44세,4341
종로구,남자,45~49세,5709
종로구,남자,50~54세,5511
종로구,남자,55~59세,5773
종로구,남자,60~64세,5021
종로구,남자,65~69세,3369
종로구,남자,70~74세,2659
종로구,남자,75~79세,2290
종로구,남자,80~84세,1387
종로구,남자,85세이상,747
종로구,여자,15세미만,6021
종로구,여자,15~19세,2998
종로구,여자,20~24세,5586
종로구,여자,25~29세,5805
종로구,여자,30~34세,4712
종로구,여자,35~39세,4854
종로구,여자,40~44세,4693
종로구,여자,45~49세,6075
종로구,여자,50~54세,5951
종로구,여자,55~59세,6008
종로구,여자,60~64세,5104
종로구,여자,65~69세,3688
종로구,여자,70~74세,3301
종로구,여자,75~79세,2987
종로구,여자,80~84세,1954
종로구,여자,85세이상,1318
중구,남자,15세미만,4988
중구,남자,15~19세,1896
중구,남자,20~24세,3103
중구,남자,25~29세,5115
중구,남자,30~34세,4790
중구,남자,35~39세,4990
중구,남자,40~44세,4054
중구,남자,45~49세,4423
중구,남자,50~54세,4587
중구,남자,55~59세,4830
중구,남자,60~64세,4430
중구,남자,65~69세,2998
중구,남자,70~74세,2295
중구,남자,75~79세,1795
중구,남자,80~84세,1003
중구,남자,85세이상,523
중구,여자,15세미만,4851
중구,여자,15~19세,2000
중구,여자,20~24세,4408
중구,여자,25~29세,5189
중구,여자,30~34세,4846
중구,여자,35~39세,4884
중구,여자,40~44세,3782
중구,여자,45~49세,4480
중구,여자,50~54세,4726
중구,여자,55~59세,4956
중구,여자,60~64세,4572
중구,여자,65~69세,3213
중구,여자,70~74세,2782
중구,여자,75~79세,2406
중구,여자,80~84세,1578
중구,여자,85세이상,1172
용산구,남자,15세미만,10065
용산구,남자,15~19세,3759
용산구,남자,20~24세,4330
용산구,남자,25~29세,8410
용산구,남자,30~34세,8569
용산구,남자,35~39세,9068
용산구,남자,40~44세,7366
용산구,남자,45~49세,8636
용산구,남자,50~54세,8072
용산구,남자,55~59세,7884
용산구,남자,60~64세,7103
용산구,남자,65~69세,4649
용산구,남자,70~74세,3653
용산구,남자,75~79세,2997
용산구,남자,80~84세,1831
용산구,남자,85세이상,998
용산구,여자,15세미만,9494
용산구,여자,15~19세,3742
용산구,여자,20~24세,7142
용산구,여자,25~29세,9096
용산구,여자,30~34세,8677
용산구,여자,35~39세,8973
용산구,여자,40~44세,7585
용산구,여자,45~49세,8918
용산구,여자,50~54세,8417
용산구,여자,55~59세,8362
용산구,여자,60~64세,7605
용산구,여자,65~69세,5278
용산구,여자,70~74세,4544
용산구,여자,75~79세,4030
용산구,여자,80~84세,2932
용산구,여자,85세이상,2011
성동구,남자,15세미만,15351
성동구,남자,15~19세,5102
성동구,남자,20~24세,8031
성동구,남자,25~29세,12340
성동구,남자,30~34세,11337
성동구,남자,35~39세,12850
성동구,남자,40~44세,10595
성동구,남자,45~49세,11507
성동구,남자,50~54세,10993
성동구,남자,55~59세,11388
성동구,남자,60~64세,9745
성동구,남자,65~69세,6328
성동구,남자,70~74세,4811
성동구,남자,75~79세,3819
성동구,남자,80~84세,2001
성동구,남자,85세이상,927
성동구,여자,15세미만,14846
성동구,여자,15~19세,5569
성동구,여자,20~24세,10252
성동구,여자,25~29세,12241
성동구,여자,30~34세,12159
성동구,여자,35~39세,12661
성동구,여자,40~44세,10253
성동구,여자,45~49세,11745
성동구,여자,50~54세,11655
성동구,여자,55~59세,11672
성동구,여자,60~64세,10281
성동구,여자,65~69세,7066
성동구,여자,70~74세,5898
성동구,여자,75~79세,4852
성동구,여자,80~84세,3087
성동구,여자,85세이상,1968
광진구,남자,15세미만,16646
광진구,남자,15~19세,6894
광진구,남자,20~24세,9737
광진구,남자,25~29세,16584
광진구,남자,30~34세,13899
광진구,남자,35~39세,13652
광진구,남자,40~44세,11856
광진구,남자,45~49세,13358
광진구,남자,50~54세,12787
광진구,남자,55~59세,12669
광진구,남자,60~64세,10982
광진구,남자,65~69세,7247
광진구,남자,70~74세,5584
광진구,남자,75~79세,4166
광진구,남자,80~84세,2151
광진구,남자,85세이상,975
광진구,여자,15세미만,15823
광진구,여자,15~19세,6982
광진구,여자,20~24세,13722
광진구,여자,25~29세,17558
광진구,여자,30~34세,14399
광진구,여자,35~39세,13800
광진구,여자,40~44세,12008
광진구,여자,45~49세,14099
광진구,여자,50~54세,13912
광진구,여자,55~59세,13576
광진구,여자,60~64세,12192
광진구,여자,65~69세,8048
광진구,여자,70~74세,6370
광진구,여자,75~79세,4904
광진구,여자,80~84세,3098
광진구,여자,85세이상,2069
동대문구,남자,15세미만,16435
동대문구,남자,15~19세,6438
동대문구,남자,20~24세,11160
동대문구,남자,25~29세,15493
동대문구,남자,30~34세,11957
동대문구,남자,35~39세,13332
동대문구,남자,40~44세,11809
동대문구,남자,45~49세,13042
동대문구,남자,50~54세,12408
동대문구,남자,55~59세,12500
동대문구,남자,60~64세,11684
동대문구,남자,65~69세,8397
동대문구,남자,70~74세,6554
동대문구,남자,75~79세,5232
동대문구,남자,80~84세,2851
동대문구,남자,85세이상,1290
동대문구,여자,15세미만,15562
동대문구,여자,15~19세,6971
동대문구,여자,20~24세,14701
동대문구,여자,25~29세,13425
동대문구,여자,30~34세,11165
동대문구,여자,35~39세,12547
동대문구,여자,40~44세,11103
동대문구,여자,45~49세,12588
동대문구,여자,50~54세,12700
동대문구,여자,55~59세,13318
동대문구,여자,60~64세,12782
동대문구,여자,65~69세,9287
동대문구,여자,70~74세,8009
동대문구,여자,75~79세,6580
동대문구,여자,80~84세,3986
동대문구,여자,85세이상,2591
중랑구,남자,15세미만,18704
중랑구,남자,15~19세,7198
중랑구,남자,20~24세,9518
중랑구,남자,25~29세,14895
중랑구,남자,30~34세,13917
중랑구,남자,35~39세,15562
중랑구,남자,40~44세,13367
중랑구,남자,45~49세,15104
중랑구,남자,50~54세,15617
중랑구,남자,55~59세,16868
중랑구,남자,60~64세,14952
중랑구,남자,65~69세,10219
중랑구,남자,70~74세,7699
중랑구,남자,75~79세,5685
중랑구,남자,80~84세,2911
중랑구,남자,85세이상,1141
중랑구,여자,15세미만,17575
중랑구,여자,15~19세,7296
중랑구,여자,20~24세,11439
중랑구,여자,25~29세,15400
중랑구,여자,30~34세,13500
중랑구,여자,35~39세,14245
중랑구,여자,40~44세,12290
중랑구,여자,45~49세,15060
중랑구,여자,50~54세,16898
중랑구,여자,55~59세,17875
중랑구,여자,60~64세,16066
중랑구,여자,65~69세,11015
중랑구,여자,70~74세,8963
중랑구,여자,75~79세,6912
중랑구,여자,80~84세,4074
중랑구,여자,85세이상,2675
성북구,남자,15세미만,24004
성북구,남자,15~19세,9728
성북구,남자,20~24세,12713
성북구,남자,25~29세,17179
성북구,남자,30~34세,13450
성북구,남자,35~39세,15806
성북구,남자,40~44세,15130
성북구,남자,45~49세,18363
성북구,남자,50~54세,16537
성북구,남자,55~59세,15259
성북구,남자,60~64세,13983
성북구,남자,65~69세,9650
성북구,남자,70~74세,7534
성북구,남자,75~79세,6271
성북구,남자,80~84세,3487
성북구,남자,85세이상,1548
성북구,여자,15세미만,22587
성북구,여자,15~19세,10294
성북구,여자,20~24세,18724
성북구,여자,25~29세,16293
성북구,여자,30~34세,13619
성북구,여자,35~39세,15943
성북구,여자,40~44세,15454
성북구,여자,45~49세,18871
성북구,여자,50~54세,16825
성북구,여자,55~59세,16804
성북구,여자,60~64세,15448
성북구,여자,65~69세,11034
성북구,여자,70~74세,9655
성북구,여자,75~79세,8021
성북구,여자,80~84세,5052
성북구,여자,85세이상,3137
강북구,남자,15세미만,13840
강북구,남자,15~19세,6148
강북구,남자,20~24세,7327
강북구,남자,25~29세,10914
강북구,남자,30~34세,9389
강북구,남자,35~39세,11100
강북구,남자,40~44세,10464
강북구,남자,45~49세,12681
강북구,남자,50~54세,11819
강북구,남자,55~59세,12258
강북구,남자,60~64세,11394
강북구,남자,65~69세,7960
강북구,남자,70~74세,6734
강북구,남자,75~79세,5641
강북구,남자,80~84세,2924
강북구,남자,85세이상,1166
강북구,여자,15세미만,13073
강북구,여자,15~19세,6092
강북구,여자,20~24세,10124
강북구,여자,25~29세,10805
강북구,여자,30~34세,8730
강북구,여자,35~39세,9980
강북구,여자,40~44세,9874
강북구,여자,45~49세,12559
강북구,여자,50~54세,12883
강북구,여자,55~59세,13464
강북구,여자,60~64세,12709
강북구,여자,65~69세,9761
강북구,여자,70~74세,8795
강북구,여자,75~79세,7035
강북구,여자,80~84세,4155
강북구,여자,85세이상,2345
도봉구,남자,15세미만,16321
도봉구,남자,15~19세,7300
도봉구,남자,20~24세,7977
도봉구,남자,25~29세,11171
도봉구,남자,30~34세,9642
도봉구,남자,35~39세,11463
도봉구,남자,40~44세,10611
도봉구,남자,45~49세,13157
도봉구,남자,50~54세,12930
도봉구,남자,55~59세,13532
도봉구,남자,60~64세,12938
도봉구,남자,65~69세,8886
도봉구,남자,70~74세,6729
도봉구,남자,75~79세,5309
도봉구,남자,80~84세,2805
도봉구,남자,85세이상,1335
도봉구,여자,15세미만,15278
도봉구,여자,15~19세,7156
도봉구,여자,20~24세,10125
도봉구,여자,25~29세,10953
도봉구,여자,30~34세,9352
도봉구,여자,35~39세,10936
도봉구,여자,40~44세,10723
도봉구,여자,45~49세,13938
도봉구,여자,50~54세,14571
도봉구,여자,55~59세,15179
도봉구,여자,60~64세,14305
도봉구,여자,65~69세,9421
도봉구,여자,70~74세,7699
도봉구,여자,75~79세,6443
도봉구,여자,80~84세,4095
도봉구,여자,85세이상,2752
노원구,남자,15세미만,30320
노원구,남자,15~19세,15188
노원구,남자,20~24세,14952
노원구,남자,25~29세,17478
노원구,남자,30~34세,14565
노원구,남자,35~39세,17432
노원구,남자,40~44세,17882
노원구,남자,45~49세,23168
노원구,남자,50~54세,21501
노원구,남자,55~59세,19843
노원구,남자,60~64세,17284
노원구,남자,65~69세,11890
노원구,남자,70~74세,8634
노원구,남자,75~79세,6480
노원구,남자,80~84세,3512
노원구,남자,85세이상,1822
노원구,여자,15세미만,28372
노원구,여자,15~19세,14490
노원구,여자,20~24세,18018
노원구,여자,25~29세,16259
노원구,여자,30~34세,14487
노원구,여자,35~39세,17893
노원구,여자,40~44세,19593
노원구,여자,45~49세,25553
노원구,여자,50~54세,22880
노원구,여자,55~59세,21747
노원구,여자,60~64세,19926
노원구,여자,65~69세,13454
노원구,여자,70~74세,10866
노원구,여자,75~79세,9099
노원구,여자,80~84세,6146
노원구,여자,85세이상,4233
은평구,남자,15세미만,24815
은평구,남자,15~19세,10046
은평구,남자,20~24세,10503
은평구,남자,25~29세,16023
은평구,남자,30~34세,14766
은평구,남자,35~39세,18200
은평구,남자,40~44세,16616
은평구,남자,45~49세,19419
은평구,남자,50~54세,17506
은평구,남자,55~59세,17071
은평구,남자,60~64세,15682
은평구,남자,65~69세,10827
은평구,남자,70~74세,8909
은평구,남자,75~79세,7185
은평구,남자,80~84세,3919
은평구,남자,85세이상,1671
은평구,여자,15세미만,23277
은평구,여자,15~19세,10017
은평구,여자,20~24세,13779
은평구,여자,25~29세,17532
은평구,여자,30~34세,15720
은평구,여자,35~39세,18041
은평구,여자,40~44세,16951
은평구,여자,45~49세,20313
은평구,여자,50~54세,19097
은평구,여자,55~59세,19489
은평구,여자,60~64세,18120
은평구,여자,65~69세,13175
은평구,여자,70~74세,11227
은평구,여자,75~79세,8968
은평구,여자,80~84세,5552
은평구,여자,85세이상,3277
서대문구,남자,15세미만,14874
서대문구,남자,15~19세,6067
서대문구,남자,20~24세,8683
서대문구,남자,25~29세,13061
서대문구,남자,30~34세,10110
서대문구,남자,35~39세,11009
서대문구,남자,40~44세,10168
서대문구,남자,45~49세,11943
서대문구,남자,50~54세,11111
서대문구,남자,55~59세,10890
서대문구,남자,60~64세,9686
서대문구,남자,65~69세,6498
서대문구,남자,70~74세,5334
서대문구,남자,75~79세,4561
서대문구,남자,80~84세,2746
서대문구,남자,85세이상,1230
서대문구,여자,15세미만,14425
서대문구,여자,15~19세,6521
서대문구,여자,20~24세,13577
서대문구,여자,25~29세,12997
서대문구,여자,30~34세,10164
서대문구,여자,35~39세,11232
서대문구,여자,40~44세,10220
서대문구,여자,45~49세,12475
서대문구,여자,50~54세,12191
서대문구,여자,55~59세,11992
서대문구,여자,60~64세,10814
서대문구,여자,65~69세,7750
서대문구,여자,70~74세,7035
서대문구,여자,75~79세,6061
서대문구,여자,80~84세,4054
