기준일ID,시군구코드,시군구명,총생활인구수,내국인생활인구수,장기체류외국인인구수,단기체류외국인인구수,일최대인구수,일최소인구수,주간인구수(09~18),야간인구수(19~08),일최대이동인구수,서울외유입인구수,동일자치구행정동간이동인구수,자치구간이동인구수
20191231,11000,서울시,11441634.2,10809152.01,419381.2335,213100.953,11755785.08,11156665.35,11685865.07,11267183.58,6274861.578,1538572.883,2204421.96,2531866.735
20191231,11110,종로구,334278.542,300182.3198,17124.997,16971.2253,437581.8574,248249.1572,405767.1151,283215.2755,277682.2571,72881.8611,32166.1531,172634.2429
20191231,11140,중구,372644.3794,291790.9112,24543.0154,56310.4528,525081.3441,251090.5447,485445.2889,292072.3011,347013.2392,92732.791,32112.4545,222167.9937
20191231,11170,용산구,332169.6558,300418.1904,20241.7637,11509.7017,362599.6771,289189.6771,357036.0616,314407.9373,202015.1479,56670.2925,46096.478,99248.3774
20191231,11200,성동구,371703.7943,351549.2825,17769.9791,2384.5326,390847.3388,347809.7868,383105.6197,363559.6333,210200.9465,40773.8355,67418.9162,102008.1948
20191231,11215,광진구,402069.1626,376261.6265,23486.1601,2321.3759,424006.9053,376380.4241,386611.8377,413110.1089,192034.5755,40178.5247,79724.425,72131.6258
20191231,11230,동대문구,384428.8408,358020.2103,22082.3732,4326.2574,396801.323,371741.3793,380070.4603,387541.9698,190135.1922,35203.18,72260.4637,82671.5485
20191231,11260,중랑구,367865.9711,360733.9806,6524.5315,607.4589,402588.4299,330801.3911,339750.0876,387948.745,159614.935,29668.818,91439.8352,38506.2818
20191231,11290,성북구,444568.4775,426544.6598,14639.0499,3384.7678,478413.479,410303.4271,419189.7036,462696.1731,181762.8237,24302.4149,85207.018,72253.3908
20191231,11305,강북구,313699.4376,307638.438,5055.0495,1005.9501,342643.8868,283765.8294,290066.4369,330580.1525,182965.3598,15475.3527,120511.0073,46978.9998
20191231,11320,도봉구,284805.6535,281333.7129,2964.5681,507.3725,306806.9878,257687.2564,265349.3929,298702.9825,134700.4492,20721.9422,74849.9513,39128.5557
20191231,11350,노원구,539604.9766,533315.8586,5290.3195,998.7985,575788.8662,497548.7639,507869.7557,562272.9916,225676.8528,40304.8614,127619.9085,57752.0829
20191231,11380,은평구,454167.9489,445175.2717,7189.2552,1803.422,502019.2719,401231.9257,414213.5808,482706.7833,181118.4995,33738.6692,112215.2225,35164.6078
20191231,11410,서대문구,406285.759,370789.4592,21661.1206,13835.1792,428215.8491,390199.2069,418747.395,397384.5904,220609.6749,49047.056,64027.9392,107534.6797
20191231,11440,마포구,515383.7171,467955.0543,22547.464,24881.1988,543752.5816,477378.7156,536299.4196,500443.9296,293440.2934,73662.682,84679.9901,135097.6213
20191231,11470,양천구,412545.7909,405298.5728,5982.021,1265.1971,437351.4535,383694.0842,391500.9665,427577.8083,191774.4133,34579.4207,92004.3029,65190.6897
20191231,11500,강서구,561459.4703,542602.416,10527.6078,8329.4464,592748.7267,531259.3169,537808.1598,578353.2635,257465.0101,66919.7101,125742.315,64802.985
20191231,11530,구로구,432825.1774,399041.4269,29598.1304,4185.6202,438426.0656,422644.2451,428755.3504,435732.1967,214089.8487,70782.249,71077.7703,72229.8294
20191231,11545,금천구,243362.8022,223739.8735,17854.9779,1767.9508,269541.2105,220941.8729,261120.9304,230678.4249,156873.6066,58650.8692,46213.2589,52009.4785
20191231,11560,영등포구,523881.8905,478372.6269,37403.0552,8106.2084,589552.537,457679.1434,577419.9521,485640.4179,357035.9029,99208.5799,86589.1632,171238.1598
20191231,11590,동작구,419290.7392,401421.3821,15979.326,1890.0311,451454.0979,386485.3796,395418.5705,436342.2882,182181.2411,37573.0123,70425.9573,74182.2715
20191231,11620,관악구,511535.8023,487183.4839,22189.6551,2162.6633,566649.956,454698.2125,467511.6758,542981.607,215112.11,37916.2393,115339.2032,61856.6675
20191231,11650,서초구,609602.6878,584726.0199,16466.3773,8410.2907,714658.9512,512387.1114,690948.8211,551498.307,423740.0012,136443.0325,86813.8703,200483.0984
20191231,11680,강남구,882437.4763,833098.0867,24278.4458,25060.9438,1097106.965,708195.1958,1041884.823,768546.5146,650009.6818,202843.8807,128415.3064,318750.4947
20191231,11710,송파구,815466.0654,786978.1573,18653.3069,9834.6012,849685.8056,790365.857,826447.5284,807622.1632,423745.2214,123691.1375,171260.5959,128793.488
20191231,11740,강동구,505549.9827,494980.9927,9328.6836,1240.3064,536389.4315,468151.4417,477526.1384,525567.0144,246366.0287,53074.6921,144008.6309,49282.7057
20191230,11000,서울시,11527261,10901197.86,416742.4107,209320.733,11909807.37,11144686.41,11837655.27,11305550.81,6697602.214,1707262.816,2256291.629,2734047.77
20191230,11110,종로구,345325.9239,309729.0799,17174.4596,18422.3843,468974.654,245049.7382,436422.6256,280256.8512,305784.0046,84187.6579,34004.5116,187591.8351
20191230,11140,중구,391207.8195,310723.5887,25031.2122,55453.0187,552847.1688,247626.2756,519196.2623,299787.5033,375760.5654,103071.1873,34090.7682,238598.6099
20191230,11170,용산구,328299.1137,297970.6574,19299.6081,11028.8482,364178.1483,288852.8586,359013.1079,306360.5465,212441.8975,61514.9362,45674.4755,105252.4858
20191230,11200,성동구,376770.1542,356598.6224,17782.9193,2388.6126,393863.7491,357492.8034,390046.0226,367287.3911,227056.5251,45544.5404,70539.1893,110972.7954
20191230,11215,광진구,398393.3586,373406.8614,22547.0642,2439.433,422097.1947,368129.2878,377559.6575,413274.5737,193777.6012,40496.9154,81009.0654,72271.6204
20191230,11230,동대문구,387711.2216,360380.5651,22774.6714,4555.9851,397619.9762,375370.2267,383946.0785,390400.6095,205242.5064,39728.7037,76052.161,89461.6417
